point_identification;x;y;time;result_type;value
Fenomarker_10;23,92;-5,8;0;Soil.Ux;0,000
Fenomarker_10;23,92;-5,8;6;Soil.Ux;-1,677
Fenomarker_10;23,92;-5,8;13;Soil.Ux;-2,880
Fenomarker_10;23,92;-5,8;21;Soil.Ux;-2,710
Fenomarker_10;23,92;-5,8;26;Soil.Ux;1,616
Fenomarker_10;23,92;-5,8;33;Soil.Ux;-3,853
Fenomarker_10;23,92;-5,8;40;Soil.Ux;5,054
Fenomarker_10;23,92;-5,8;46;Soil.Ux;-1,593
Fenomarker_10;23,92;-5,8;56;Soil.Ux;-5,931
Fenomarker_10;23,92;-5,8;61;Soil.Ux;-8,981
Fenomarker_10;23,92;-5,8;82;Soil.Ux;-10,585
Fenomarker_10;23,92;-5,8;89;Soil.Ux;-3,525
Fenomarker_10;23,92;-5,8;98;Soil.Ux;-4,595
Fenomarker_10;23,92;-5,8;105;Soil.Ux;-9,285
Fenomarker_10;23,92;-5,8;113;Soil.Ux;-5,312
Fenomarker_10;23,92;-5,8;123;Soil.Ux;-13,490
Fenomarker_10;23,92;-5,8;133;Soil.Ux;-11,546
Fenomarker_10;23,92;-5,8;140;Soil.Ux;-8,071
Fenomarker_10;23,92;-5,8;148;Soil.Ux;-0,331
Fenomarker_10;23,92;-5,8;159;Soil.Ux;-8,715
Fenomarker_10;23,92;-5,8;0;Soil.Uy;0,000
Fenomarker_10;23,92;-5,8;6;Soil.Uy;20,547
Fenomarker_10;23,92;-5,8;13;Soil.Uy;12,029
Fenomarker_10;23,92;-5,8;21;Soil.Uy;29,029
Fenomarker_10;23,92;-5,8;26;Soil.Uy;38,045
Fenomarker_10;23,92;-5,8;33;Soil.Uy;44,217
Fenomarker_10;23,92;-5,8;40;Soil.Uy;46,599
Fenomarker_10;23,92;-5,8;46;Soil.Uy;70,196
Fenomarker_10;23,92;-5,8;56;Soil.Uy;89,358
Fenomarker_10;23,92;-5,8;61;Soil.Uy;84,388
Fenomarker_10;23,92;-5,8;82;Soil.Uy;100,464
Fenomarker_10;23,92;-5,8;89;Soil.Uy;106,393
Fenomarker_10;23,92;-5,8;98;Soil.Uy;117,111
Fenomarker_10;23,92;-5,8;105;Soil.Uy;130,452
Fenomarker_10;23,92;-5,8;113;Soil.Uy;133,648
Fenomarker_10;23,92;-5,8;123;Soil.Uy;168,849
Fenomarker_10;23,92;-5,8;133;Soil.Uy;186,772
Fenomarker_10;23,92;-5,8;140;Soil.Uy;193,090
Fenomarker_10;23,92;-5,8;148;Soil.Uy;184,718
Fenomarker_10;23,92;-5,8;159;Soil.Uy;205,156
Fenomarker_9;28,31;-5,8;0;Soil.Ux;0,000
Fenomarker_9;28,31;-5,8;6;Soil.Ux;-3,949
Fenomarker_9;28,31;-5,8;13;Soil.Ux;-6,537
Fenomarker_9;28,31;-5,8;21;Soil.Ux;-12,577
Fenomarker_9;28,31;-5,8;26;Soil.Ux;-8,640
Fenomarker_9;28,31;-5,8;33;Soil.Ux;-6,441
Fenomarker_9;28,31;-5,8;40;Soil.Ux;3,390
Fenomarker_9;28,31;-5,8;46;Soil.Ux;-3,537
Fenomarker_9;28,31;-5,8;56;Soil.Ux;-5,991
Fenomarker_9;28,31;-5,8;61;Soil.Ux;-8,689
Fenomarker_9;28,31;-5,8;82;Soil.Ux;-26,296
Fenomarker_9;28,31;-5,8;89;Soil.Ux;-7,486
Fenomarker_9;28,31;-5,8;98;Soil.Ux;-7,413
Fenomarker_9;28,31;-5,8;105;Soil.Ux;-11,180
Fenomarker_9;28,31;-5,8;113;Soil.Ux;3,972
Fenomarker_9;28,31;-5,8;123;Soil.Ux;-17,159
Fenomarker_9;28,31;-5,8;133;Soil.Ux;-3,246
Fenomarker_9;28,31;-5,8;140;Soil.Ux;-2,894
Fenomarker_9;28,31;-5,8;148;Soil.Ux;7,896
Fenomarker_9;28,31;-5,8;159;Soil.Ux;5,551
Fenomarker_9;28,31;-5,8;0;Soil.Uy;0,000
Fenomarker_9;28,31;-5,8;6;Soil.Uy;22,746
Fenomarker_9;28,31;-5,8;13;Soil.Uy;16,890
Fenomarker_9;28,31;-5,8;21;Soil.Uy;30,657
Fenomarker_9;28,31;-5,8;26;Soil.Uy;36,088
Fenomarker_9;28,31;-5,8;33;Soil.Uy;38,360
Fenomarker_9;28,31;-5,8;40;Soil.Uy;38,968
Fenomarker_9;28,31;-5,8;46;Soil.Uy;52,273
Fenomarker_9;28,31;-5,8;56;Soil.Uy;65,651
Fenomarker_9;28,31;-5,8;61;Soil.Uy;66,502
Fenomarker_9;28,31;-5,8;82;Soil.Uy;76,502
Fenomarker_9;28,31;-5,8;89;Soil.Uy;75,020
Fenomarker_9;28,31;-5,8;98;Soil.Uy;70,548
Fenomarker_9;28,31;-5,8;105;Soil.Uy;82,116
Fenomarker_9;28,31;-5,8;113;Soil.Uy;85,494
Fenomarker_9;28,31;-5,8;123;Soil.Uy;119,589
Fenomarker_9;28,31;-5,8;133;Soil.Uy;116,685
Fenomarker_9;28,31;-5,8;140;Soil.Uy;122,506
Fenomarker_9;28,31;-5,8;148;Soil.Uy;119,104
Fenomarker_9;28,31;-5,8;159;Soil.Uy;125,774
Fenomarker_8;33,23;-5,8;0;Soil.Ux;0,000
Fenomarker_8;33,23;-5,8;6;Soil.Ux;0,559
Fenomarker_8;33,23;-5,8;13;Soil.Ux;-7,279
Fenomarker_8;33,23;-5,8;21;Soil.Ux;-16,441
Fenomarker_8;33,23;-5,8;26;Soil.Ux;-11,969
Fenomarker_8;33,23;-5,8;33;Soil.Ux;-3,949
Fenomarker_8;33,23;-5,8;40;Soil.Ux;3,293
Fenomarker_8;33,23;-5,8;46;Soil.Ux;-8,494
Fenomarker_8;33,23;-5,8;56;Soil.Ux;-4,630
Fenomarker_8;33,23;-5,8;61;Soil.Ux;-8,215
Fenomarker_8;33,23;-5,8;82;Soil.Ux;1,373
Fenomarker_8;33,23;-5,8;89;Soil.Ux;-11,763
Fenomarker_8;33,23;-5,8;98;Soil.Ux;-3,281
Fenomarker_8;33,23;-5,8;105;Soil.Ux;-6,550
Fenomarker_8;33,23;-5,8;113;Soil.Ux;-2,078
Fenomarker_8;33,23;-5,8;123;Soil.Ux;2,563
Fenomarker_8;33,23;-5,8;133;Soil.Ux;-8,410
Fenomarker_8;33,23;-5,8;140;Soil.Ux;-0,098
Fenomarker_8;33,23;-5,8;148;Soil.Ux;7,994
Fenomarker_8;33,23;-5,8;159;Soil.Ux;0,291
Fenomarker_8;33,23;-5,8;0;Soil.Uy;0,000
Fenomarker_8;33,23;-5,8;6;Soil.Uy;20,584
Fenomarker_8;33,23;-5,8;13;Soil.Uy;7,485
Fenomarker_8;33,23;-5,8;21;Soil.Uy;20,754
Fenomarker_8;33,23;-5,8;26;Soil.Uy;20,827
Fenomarker_8;33,23;-5,8;33;Soil.Uy;22,746
Fenomarker_8;33,23;-5,8;40;Soil.Uy;17,497
Fenomarker_8;33,23;-5,8;46;Soil.Uy;27,145
Fenomarker_8;33,23;-5,8;56;Soil.Uy;37,048
Fenomarker_8;33,23;-5,8;61;Soil.Uy;37,437
Fenomarker_8;33,23;-5,8;82;Soil.Uy;25,517
Fenomarker_8;33,23;-5,8;89;Soil.Uy;35,590
Fenomarker_8;33,23;-5,8;98;Soil.Uy;36,623
Fenomarker_8;33,23;-5,8;105;Soil.Uy;45,068
Fenomarker_8;33,23;-5,8;113;Soil.Uy;45,141
Fenomarker_8;33,23;-5,8;123;Soil.Uy;62,213
Fenomarker_8;33,23;-5,8;133;Soil.Uy;76,794
Fenomarker_8;33,23;-5,8;140;Soil.Uy;60,828
Fenomarker_8;33,23;-5,8;148;Soil.Uy;58,276
Fenomarker_8;33,23;-5,8;159;Soil.Uy;64,412
Fenomarker_7;38,24;-5,8;0;Soil.Ux;0,000
Fenomarker_7;38,24;-5,8;6;Soil.Ux;2,053
Fenomarker_7;38,24;-5,8;13;Soil.Ux;-2,698
Fenomarker_7;38,24;-5,8;21;Soil.Ux;-10,013
Fenomarker_7;38,24;-5,8;26;Soil.Ux;-0,608
Fenomarker_7;38,24;-5,8;33;Soil.Ux;-0,146
Fenomarker_7;38,24;-5,8;40;Soil.Ux;-7,206
Fenomarker_7;38,24;-5,8;46;Soil.Ux;6,525
Fenomarker_7;38,24;-5,8;56;Soil.Ux;1,907
Fenomarker_7;38,24;-5,8;61;Soil.Ux;-3,415
Fenomarker_7;38,24;-5,8;82;Soil.Ux;-13,099
Fenomarker_7;38,24;-5,8;89;Soil.Ux;1,336
Fenomarker_7;38,24;-5,8;98;Soil.Ux;0,632
Fenomarker_7;38,24;-5,8;105;Soil.Ux;-1,179
Fenomarker_7;38,24;-5,8;113;Soil.Ux;8,153
Fenomarker_7;38,24;-5,8;123;Soil.Ux;3,499
Fenomarker_7;38,24;-5,8;133;Soil.Ux;15,674
Fenomarker_7;38,24;-5,8;140;Soil.Ux;3,462
Fenomarker_7;38,24;-5,8;148;Soil.Ux;11,665
Fenomarker_7;38,24;-5,8;159;Soil.Ux;4,884
Fenomarker_7;38,24;-5,8;0;Soil.Uy;0,000
Fenomarker_7;38,24;-5,8;6;Soil.Uy;11,215
Fenomarker_7;38,24;-5,8;13;Soil.Uy;0,851
Fenomarker_7;38,24;-5,8;21;Soil.Uy;10,571
Fenomarker_7;38,24;-5,8;26;Soil.Uy;9,830
Fenomarker_7;38,24;-5,8;33;Soil.Uy;8,943
Fenomarker_7;38,24;-5,8;40;Soil.Uy;3,013
Fenomarker_7;38,24;-5,8;46;Soil.Uy;11,288
Fenomarker_7;38,24;-5,8;56;Soil.Uy;20,158
Fenomarker_7;38,24;-5,8;61;Soil.Uy;17,388
Fenomarker_7;38,24;-5,8;82;Soil.Uy;7,837
Fenomarker_7;38,24;-5,8;89;Soil.Uy;27,753
Fenomarker_7;38,24;-5,8;98;Soil.Uy;16,112
Fenomarker_7;38,24;-5,8;105;Soil.Uy;17,424
Fenomarker_7;38,24;-5,8;113;Soil.Uy;21,155
Fenomarker_7;38,24;-5,8;123;Soil.Uy;32,261
Fenomarker_7;38,24;-5,8;133;Soil.Uy;26,198
Fenomarker_7;38,24;-5,8;140;Soil.Uy;34,497
Fenomarker_7;38,24;-5,8;148;Soil.Uy;25,238
Fenomarker_7;38,24;-5,8;159;Soil.Uy;29,600
Fenomarker_6;43,21;-5,8;0;Soil.Ux;0,000
Fenomarker_6;43,21;-5,8;6;Soil.Ux;0,668
Fenomarker_6;43,21;-5,8;13;Soil.Ux;-8,093
Fenomarker_6;43,21;-5,8;21;Soil.Ux;-13,597
Fenomarker_6;43,21;-5,8;26;Soil.Ux;0,316
Fenomarker_6;43,21;-5,8;33;Soil.Ux;6,598
Fenomarker_6;43,21;-5,8;40;Soil.Ux;-0,608
Fenomarker_6;43,21;-5,8;46;Soil.Ux;3,900
Fenomarker_6;43,21;-5,8;56;Soil.Ux;-2,418
Fenomarker_6;43,21;-5,8;61;Soil.Ux;-7,315
Fenomarker_6;43,21;-5,8;82;Soil.Ux;-11,823
Fenomarker_6;43,21;-5,8;89;Soil.Ux;-5,723
Fenomarker_6;43,21;-5,8;98;Soil.Ux;-1,604
Fenomarker_6;43,21;-5,8;105;Soil.Ux;-2,029
Fenomarker_6;43,21;-5,8;113;Soil.Ux;2,904
Fenomarker_6;43,21;-5,8;123;Soil.Ux;3,439
Fenomarker_6;43,21;-5,8;133;Soil.Ux;-15,347
Fenomarker_6;43,21;-5,8;140;Soil.Ux;-1,750
Fenomarker_6;43,21;-5,8;148;Soil.Ux;-0,717
Fenomarker_6;43,21;-5,8;159;Soil.Ux;-1,288
Fenomarker_6;43,21;-5,8;0;Soil.Uy;0,000
Fenomarker_6;43,21;-5,8;6;Soil.Uy;13,876
Fenomarker_6;43,21;-5,8;13;Soil.Uy;2,552
Fenomarker_6;43,21;-5,8;21;Soil.Uy;10,960
Fenomarker_6;43,21;-5,8;26;Soil.Uy;8,056
Fenomarker_6;43,21;-5,8;33;Soil.Uy;6,817
Fenomarker_6;43,21;-5,8;40;Soil.Uy;9,830
Fenomarker_6;43,21;-5,8;46;Soil.Uy;7,667
Fenomarker_6;43,21;-5,8;56;Soil.Uy;11,142
Fenomarker_6;43,21;-5,8;61;Soil.Uy;9,721
Fenomarker_6;43,21;-5,8;82;Soil.Uy;11,883
Fenomarker_6;43,21;-5,8;89;Soil.Uy;21,823
Fenomarker_6;43,21;-5,8;98;Soil.Uy;16,076
Fenomarker_6;43,21;-5,8;105;Soil.Uy;14,727
Fenomarker_6;43,21;-5,8;113;Soil.Uy;13,913
Fenomarker_6;43,21;-5,8;123;Soil.Uy;8,554
Fenomarker_6;43,21;-5,8;133;Soil.Uy;35,979
Fenomarker_6;43,21;-5,8;140;Soil.Uy;25,019
Fenomarker_6;43,21;-5,8;148;Soil.Uy;16,537
Fenomarker_6;43,21;-5,8;159;Soil.Uy;24,132
Zaakbaak_004;1,39;-5,8;0;Soil.Uy;0,000
Zaakbaak_004;1,39;-5,8;6;Soil.Uy;0,031
Zaakbaak_004;1,39;-5,8;13;Soil.Uy;0,038
Zaakbaak_004;1,39;-5,8;21;Soil.Uy;0,049
Zaakbaak_004;1,39;-5,8;26;Soil.Uy;0,068
Zaakbaak_004;1,39;-5,8;33;Soil.Uy;0,132
Zaakbaak_004;1,39;-5,8;40;Soil.Uy;0,191
Zaakbaak_004;1,39;-5,8;46;Soil.Uy;0,212
Zaakbaak_004;1,39;-5,8;56;Soil.Uy;0,289
Zaakbaak_004;1,39;-5,8;61;Soil.Uy;0,309
Zaakbaak_004;1,39;-5,8;82;Soil.Uy;0,441
Zaakbaak_004;1,39;-5,8;89;Soil.Uy;0,451
Zaakbaak_004;1,39;-5,8;98;Soil.Uy;0,490
Zaakbaak_004;1,39;-5,8;105;Soil.Uy;0,523
Zaakbaak_004;1,39;-5,8;113;Soil.Uy;0,686
Zaakbaak_004;1,39;-5,8;123;Soil.Uy;0,795
Zaakbaak_004;1,39;-5,8;133;Soil.Uy;0,893
Zaakbaak_004;1,39;-5,8;140;Soil.Uy;0,939
Zaakbaak_004;1,39;-5,8;148;Soil.Uy;1,002
Zaakbaak_004;1,39;-5,8;159;Soil.Uy;1,031
Zaakbaak_004;1,39;-5,8;175;Soil.Uy;1,088
Zaakbaak_004;1,39;-5,8;189;Soil.Uy;1,129
Zaakbaak_004;1,39;-5,8;197;Soil.Uy;1,143
IC4_surface;24,39;-5,8;0;Soil.Ux;0,000
IC4_surface;24,39;-5,8;20;Soil.Ux;-0,010
IC4_surface;24,39;-5,8;27;Soil.Ux;-0,006
IC4_surface;24,39;-5,8;34;Soil.Ux;-0,005
IC4_surface;24,39;-5,8;41;Soil.Ux;-0,006
IC4_surface;24,39;-5,8;48;Soil.Ux;-0,001
IC4_surface;24,39;-5,8;55;Soil.Ux;-0,005
IC4_surface;24,39;-5,8;62;Soil.Ux;-0,012
IC4_surface;24,39;-5,8;69;Soil.Ux;-0,012
IC4_surface;24,39;-5,8;76;Soil.Ux;-0,011
IC4_surface;24,39;-5,8;83;Soil.Ux;-0,011
IC4_surface;24,39;-5,8;90;Soil.Ux;-0,011
IC4_surface;24,39;-5,8;97;Soil.Ux;-0,011
IC4_surface;24,39;-5,8;104;Soil.Ux;-0,013
IC4_surface;24,39;-5,8;111;Soil.Ux;-0,012
IC4_surface;24,39;-5,8;118;Soil.Ux;-0,013
IC4_surface;24,39;-5,8;125;Soil.Ux;-0,016
IC4_surface;24,39;-5,8;132;Soil.Ux;-0,015
IC4_surface;24,39;-5,8;138;Soil.Ux;-0,015
IC4_surface;24,39;-5,8;146;Soil.Ux;-0,010
IC4_surface;24,39;-5,8;153;Soil.Ux;-0,009
IC4_surface;24,39;-5,8;160;Soil.Ux;-0,012
IC4_surface;24,39;-5,8;0;Soil.Uy;0,000
IC4_surface;24,39;-5,8;20;Soil.Uy;0,020
IC4_surface;24,39;-5,8;27;Soil.Uy;0,029
IC4_surface;24,39;-5,8;34;Soil.Uy;0,032
IC4_surface;24,39;-5,8;41;Soil.Uy;0,049
IC4_surface;24,39;-5,8;48;Soil.Uy;0,072
IC4_surface;24,39;-5,8;55;Soil.Uy;0,085
IC4_surface;24,39;-5,8;62;Soil.Uy;0,092
IC4_surface;24,39;-5,8;69;Soil.Uy;0,095
IC4_surface;24,39;-5,8;76;Soil.Uy;0,099
IC4_surface;24,39;-5,8;83;Soil.Uy;0,102
IC4_surface;24,39;-5,8;90;Soil.Uy;0,112
IC4_surface;24,39;-5,8;97;Soil.Uy;0,113
IC4_surface;24,39;-5,8;104;Soil.Uy;0,113
IC4_surface;24,39;-5,8;111;Soil.Uy;0,122
IC4_surface;24,39;-5,8;118;Soil.Uy;0,141
IC4_surface;24,39;-5,8;125;Soil.Uy;0,163
IC4_surface;24,39;-5,8;132;Soil.Uy;0,172
IC4_surface;24,39;-5,8;138;Soil.Uy;0,176
IC4_surface;24,39;-5,8;146;Soil.Uy;0,175
IC4_surface;24,39;-5,8;153;Soil.Uy;0,177
IC4_surface;24,39;-5,8;160;Soil.Uy;0,183
IC4_-6,3;24,39;-6,3;0;Soil.Ux;0,000
IC4_-6,3;24,39;-6,3;20;Soil.Ux;-0,740
IC4_-6,3;24,39;-6,3;27;Soil.Ux;-1,060
IC4_-6,3;24,39;-6,3;34;Soil.Ux;-1,330
IC4_-6,3;24,39;-6,3;41;Soil.Ux;-0,040
IC4_-6,3;24,39;-6,3;48;Soil.Ux;-1,130
IC4_-6,3;24,39;-6,3;55;Soil.Ux;-1,480
IC4_-6,3;24,39;-6,3;62;Soil.Ux;0,140
IC4_-6,3;24,39;-6,3;69;Soil.Ux;1,100
IC4_-6,3;24,39;-6,3;76;Soil.Ux;1,520
IC4_-6,3;24,39;-6,3;83;Soil.Ux;1,980
IC4_-6,3;24,39;-6,3;90;Soil.Ux;2,460
IC4_-6,3;24,39;-6,3;97;Soil.Ux;2,580
IC4_-6,3;24,39;-6,3;104;Soil.Ux;1,570
IC4_-6,3;24,39;-6,3;111;Soil.Ux;1,800
IC4_-6,3;24,39;-6,3;118;Soil.Ux;2,450
IC4_-6,3;24,39;-6,3;125;Soil.Ux;2,560
IC4_-6,3;24,39;-6,3;132;Soil.Ux;3,650
IC4_-6,3;24,39;-6,3;138;Soil.Ux;3,340
IC4_-6,3;24,39;-6,3;146;Soil.Ux;3,570
IC4_-6,3;24,39;-6,3;153;Soil.Ux;3,640
IC4_-6,3;24,39;-6,3;160;Soil.Ux;3,700
IC4_-6,3;24,39;-6,3;167;Soil.Ux;3,830
IC4_-6,3;24,39;-6,3;174;Soil.Ux;4,070
IC4_-6,3;24,39;-6,3;0;Soil.Uy;0,000
IC4_-6,3;24,39;-6,3;20;Soil.Uy;7,890
IC4_-6,3;24,39;-6,3;27;Soil.Uy;14,060
IC4_-6,3;24,39;-6,3;34;Soil.Uy;20,780
IC4_-6,3;24,39;-6,3;41;Soil.Uy;26,380
IC4_-6,3;24,39;-6,3;48;Soil.Uy;36,230
IC4_-6,3;24,39;-6,3;55;Soil.Uy;36,840
IC4_-6,3;24,39;-6,3;62;Soil.Uy;40,270
IC4_-6,3;24,39;-6,3;69;Soil.Uy;41,960
IC4_-6,3;24,39;-6,3;76;Soil.Uy;41,800
IC4_-6,3;24,39;-6,3;83;Soil.Uy;41,570
IC4_-6,3;24,39;-6,3;90;Soil.Uy;41,690
IC4_-6,3;24,39;-6,3;97;Soil.Uy;42,470
IC4_-6,3;24,39;-6,3;104;Soil.Uy;43,870
IC4_-6,3;24,39;-6,3;111;Soil.Uy;44,150
IC4_-6,3;24,39;-6,3;118;Soil.Uy;47,470
IC4_-6,3;24,39;-6,3;125;Soil.Uy;51,060
IC4_-6,3;24,39;-6,3;132;Soil.Uy;50,560
IC4_-6,3;24,39;-6,3;138;Soil.Uy;51,570
IC4_-6,3;24,39;-6,3;146;Soil.Uy;51,720
IC4_-6,3;24,39;-6,3;153;Soil.Uy;52,110
IC4_-6,3;24,39;-6,3;160;Soil.Uy;52,010
IC4_-6,3;24,39;-6,3;167;Soil.Uy;52,400
IC4_-6,3;24,39;-6,3;174;Soil.Uy;51,970
IC4_-7,3;24,39;-7,3;0;Soil.Ux;0,000
IC4_-7,3;24,39;-7,3;20;Soil.Ux;0,060
IC4_-7,3;24,39;-7,3;27;Soil.Ux;-0,480
IC4_-7,3;24,39;-7,3;34;Soil.Ux;-1,090
IC4_-7,3;24,39;-7,3;41;Soil.Ux;-0,320
IC4_-7,3;24,39;-7,3;48;Soil.Ux;-0,530
IC4_-7,3;24,39;-7,3;55;Soil.Ux;-0,570
IC4_-7,3;24,39;-7,3;62;Soil.Ux;1,060
IC4_-7,3;24,39;-7,3;69;Soil.Ux;1,990
IC4_-7,3;24,39;-7,3;76;Soil.Ux;2,280
IC4_-7,3;24,39;-7,3;83;Soil.Ux;2,670
IC4_-7,3;24,39;-7,3;90;Soil.Ux;3,070
IC4_-7,3;24,39;-7,3;97;Soil.Ux;3,350
IC4_-7,3;24,39;-7,3;104;Soil.Ux;2,450
IC4_-7,3;24,39;-7,3;111;Soil.Ux;2,660
